Ensemble,SC,Lasso,MC,MDD
1.1902670433955853,1.5029834147244059,1.9943370595664711,1.9102018471116269,2.7058550700531065
1.0252707191574484,1.3672188320353313,1.6865802049075085,1.9028549567769875,2.6978015714933696
1.1276983579815338,1.342367385827787,2.428954224296462,2.1690430976682555,2.60485006557258
0.9941155503245624,1.2594365577679656,1.6560476549827936,1.8374973371971968,2.681679041421002
1.070499194413539,1.2772267950483112,1.7013845693385474,1.8838626737830553,2.463523413929573
0.8919231798306889,0.9723730976848098,1.8214752881749678,1.4207663560311528,2.4380570092743863
1.0141985331007064,1.497007097344326,1.7967090492213442,1.3568341702672866,2.285958599318806
1.2761654915321754,1.654382647064707,2.699617065491863,2.163843410073743,3.9727660061014984
0.9443163999481697,1.248249625772665,2.5726642350554143,2.071504040154275,3.1182510046393936
1.097238008611064,1.3075476717107335,2.4551134903949214,2.3628747079671966,4.587910934446252
1.0721245217349082,1.5664067425594346,2.9944068470509477,2.2584464036631715,3.9680482868889504
1.2639685889815044,1.5060719562301261,2.95628750826348,1.7622227196133422,3.349680035394006
